STATISTIC,Statistic Label,TLIST(W1),Week,C03955V04713,Nationality,UNIT,VALUE
UA07C01,PPSN registrations of arrivals from Ukraine,2022W08,27/02/2022,-,All nationalities,Number,358
UA07C01,PPSN registrations of arrivals from Ukraine,2022W08,27/02/2022,U3,Other nationalities with protected status,Number,77
UA07C01,PPSN registrations of arrivals from Ukraine,2022W08,27/02/2022,UA,Ukrainian,Number,281
UA07C01,PPSN registrations of arrivals from Ukraine,2022W09,06/03/2022,-,All nationalities,Number,382
UA07C01,PPSN registrations of arrivals from Ukraine,2022W09,06/03/2022,U3,Other nationalities with protected status,Number,77
UA07C01,PPSN registrations of arrivals from Ukraine,2022W09,06/03/2022,UA,Ukrainian,Number,305
UA07C01,PPSN registrations of arrivals from Ukraine,2022W10,13/03/2022,-,All nationalities,Number,3482
UA07C01,PPSN registrations of arrivals from Ukraine,2022W10,13/03/2022,U3,Other nationalities with protected status,Number,118
UA07C01,PPSN registrations of arrivals from Ukraine,2022W10,13/03/2022,UA,Ukrainian,Number,3364
UA07C01,PPSN registrations of arrivals from Ukraine,2022W11,20/03/2022,-,All nationalities,Number,8033
UA07C01,PPSN registrations of arrivals from Ukraine,2022W11,20/03/2022,U3,Other nationalities with protected status,Number,264
UA07C01,PPSN registrations of arrivals from Ukraine,2022W11,20/03/2022,UA,Ukrainian,Number,7769
UA07C01,PPSN registrations of arrivals from Ukraine,2022W12,27/03/2022,-,All nationalities,Number,12257
UA07C01,PPSN registrations of arrivals from Ukraine,2022W12,27/03/2022,U3,Other nationalities with protected status,Number,443
UA07C01,PPSN registrations of arrivals from Ukraine,2022W12,27/03/2022,UA,Ukrainian,Number,11814
UA07C01,PPSN registrations of arrivals from Ukraine,2022W13,03/04/2022,-,All nationalities,Number,18304
UA07C01,PPSN registrations of arrivals from Ukraine,2022W13,03/04/2022,U3,Other nationalities with protected status,Number,560
UA07C01,PPSN registrations of arrivals from Ukraine,2022W13,03/04/2022,UA,Ukrainian,Number,17744
UA07C01,PPSN registrations of arrivals from Ukraine,2022W14,10/04/2022,-,All nationalities,Number,22094
UA07C01,PPSN registrations of arrivals from Ukraine,2022W14,10/04/2022,U3,Other nationalities with protected status,Number,615
UA07C01,PPSN registrations of arrivals from Ukraine,2022W14,10/04/2022,UA,Ukrainian,Number,21479
UA07C01,PPSN registrations of arrivals from Ukraine,2022W15,17/04/2022,-,All nationalities,Number,24109
UA07C01,PPSN registrations of arrivals from Ukraine,2022W15,17/04/2022,U3,Other nationalities with protected status,Number,646
UA07C01,PPSN registrations of arrivals from Ukraine,2022W15,17/04/2022,UA,Ukrainian,Number,23463
UA07C01,PPSN registrations of arrivals from Ukraine,2022W16,24/04/2022,-,All nationalities,Number,26383
UA07C01,PPSN registrations of arrivals from Ukraine,2022W16,24/04/2022,U3,Other nationalities with protected status,Number,691
UA07C01,PPSN registrations of arrivals from Ukraine,2022W16,24/04/2022,UA,Ukrainian,Number,25692
UA07C01,PPSN registrations of arrivals from Ukraine,2022W17,01/05/2022,-,All nationalities,Number,27870
UA07C01,PPSN registrations of arrivals from Ukraine,2022W17,01/05/2022,U3,Other nationalities with protected status,Number,709
UA07C01,PPSN registrations of arrivals from Ukraine,2022W17,01/05/2022,UA,Ukrainian,Number,27161
UA07C01,PPSN registrations of arrivals from Ukraine,2022W18,08/05/2022,-,All nationalities,Number,29886
UA07C01,PPSN registrations of arrivals from Ukraine,2022W18,08/05/2022,U3,Other nationalities with protected status,Number,744
UA07C01,PPSN registrations of arrivals from Ukraine,2022W18,08/05/2022,UA,Ukrainian,Number,29142
UA07C01,PPSN registrations of arrivals from Ukraine,2022W19,15/05/2022,-,All nationalities,Number,31611
UA07C01,PPSN registrations of arrivals from Ukraine,2022W19,15/05/2022,U3,Other nationalities with protected status,Number,760
UA07C01,PPSN registrations of arrivals from Ukraine,2022W19,15/05/2022,UA,Ukrainian,Number,30851
UA07C01,PPSN registrations of arrivals from Ukraine,2022W20,22/05/2022,-,All nationalities,Number,33211
UA07C01,PPSN registrations of arrivals from Ukraine,2022W20,22/05/2022,U3,Other nationalities with protected status,Number,784
UA07C01,PPSN registrations of arrivals from Ukraine,2022W20,22/05/2022,UA,Ukrainian,Number,32427
UA07C01,PPSN registrations of arrivals from Ukraine,2022W21,29/05/2022,-,All nationalities,Number,34416
