STATISTIC,Statistic Label,TLIST(W1),Week,Sex,C02076V03371,Age Group,UNIT,VALUE
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,-,All ages,Number,3482
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,205,0 - 4 years,Number,226
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,245,5 - 9 years,Number,397
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,265,10 - 14 years,Number,421
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,300,15 - 19 years,Number,300
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,365,20 - 24 years,Number,185
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,410,25 - 29 years,Number,258
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,440,30 - 34 years,Number,319
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,460,35 - 39 years,Number,377
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,475,40 - 44 years,Number,312
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,495,45 - 49 years,Number,199
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,515,50 - 54 years,Number,91
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,530,55 - 59 years,Number,80
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,550,60 - 64 years,Number,119
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Both sexes,575,65 years and over,Number,198
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,-,All ages,Number,1141
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,205,0 - 4 years,Number,117
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,245,5 - 9 years,Number,221
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,265,10 - 14 years,Number,216
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,300,15 - 19 years,Number,128
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,365,20 - 24 years,Number,31
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,410,25 - 29 years,Number,62
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,440,30 - 34 years,Number,58
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,460,35 - 39 years,Number,86
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,475,40 - 44 years,Number,51
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,495,45 - 49 years,Number,39
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,515,50 - 54 years,Number,24
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,530,55 - 59 years,Number,19
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,550,60 - 64 years,Number,32
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Male,575,65 years and over,Number,57
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,-,All ages,Number,2341
UA06C01,PPSN allocations to arrivals from Ukraine,2022W10,2022 March 13,Female,205,0 - 4 years,Number,109
