Sex,Age Group,March,April,May,June,July,August,September,October,November,All
Male,0 - 4 years,425,3542,5942,5558,7844,6825,7225,9772,2076,49209
Male,5 - 9 years,703,5363,8984,8433,11992,10478,11199,15016,3171,75339
Male,10 - 14 years,728,5311,8955,8530,12291,10657,11276,15231,3219,76198
Male,15 - 19 years,405,3272,5751,5526,8174,7393,7996,11002,2318,51837
Male,20 - 24 years,109,1171,2186,2292,3649,3377,3798,5418,1162,23162
Male,25 - 29 years,190,1601,2843,2987,4708,4357,4908,7008,1519,30121
Male,30 - 34 years,223,1889,3421,3571,5496,5163,5892,8504,1876,36035
Male,35 - 39 years,258,1938,3575,3764,5963,5650,6460,9496,2080,39184
Male,40 - 44 years,170,1415,2800,2985,4663,4378,4899,7121,1567,29998
Male,45 - 49 years,127,1029,2039,2118,3355,3206,3655,5228,1138,21895
Male,50 - 54 years,77,711,1317,1401,2209,2069,2275,3253,712,14024
Male,55 - 59 years,51,384,740,799,1263,1168,1367,2051,456,8279
Male,60 - 64 years,101,775,1552,1645,2563,2340,2612,3776,823,16187
Male,65 years and over,175,1144,2023,1947,2978,2685,2973,4273,933,19131
Female,0 - 4 years,388,3268,5410,5099,7221,6289,6699,9088,1931,45393
Female,5 - 9 years,625,5145,8593,8126,11626,10110,10716,14544,3090,72575
Female,10 - 14 years,672,5158,8632,8111,11681,10063,10659,14385,3023,72384
Female,15 - 19 years,563,4422,7376,7041,10269,8932,9426,12693,2653,63375
Female,20 - 24 years,532,4416,7412,6988,10087,8829,9357,12538,2618,62777
Female,25 - 29 years,642,4941,8452,8065,11506,10076,10765,14588,3093,72128
Female,30 - 34 years,830,6700,11317,10793,15335,13319,14109,19125,4041,95569
Female,35 - 39 years,991,7710,13139,12593,18168,15868,16854,22786,4804,112913
Female,40 - 44 years,814,6083,10418,9992,14445,12606,13397,18244,3827,89826
Female,45 - 49 years,488,3890,6790,6737,9809,8719,9365,12890,2738,61426
Female,50 - 54 years,246,2442,4607,4635,7015,6235,6721,9429,2020,43350
Female,55 - 59 years,218,1951,3675,3771,5654,5082,5561,7808,1687,35407
Female,60 - 64 years,280,2010,3605,3500,5294,4785,5189,7266,1581,33510
Female,65 years and over,484,3209,5440,5140,7555,6818,7405,10422,2269,48742
