Month,All,Other,Ukraine,Month1
April,18304,560,17744,April
April,22094,615,21479,April
April,24109,646,23463,April
April,26383,691,25692,April
August,47977,926,47051,August
August,49036,940,48096,August
August,49817,948,48869,August
August,50647,959,49688,August
February,358,77,281,February
July,41852,889,40963,July
July,43289,897,42392,July
July,44688,905,43783,July
July,45844,912,44932,July
July,47140,919,46221,July
June,35715,819,34896,June
June,37385,834,36551,June
June,38730,851,37879,June
June,40317,869,39448,June
March,382,77,305,March
March,3482,118,3364,March
March,8033,264,7769,March
March,12257,443,11814,March
May,27870,709,27161,May
May,29886,744,29142,May
May,31611,760,30851,May
May,33211,784,32427,May
May,34416,801,33615,May
November,62425,1039,61386,November
October,55939,994,54945,October
October,57223,998,56225,October
October,58448,1011,57437,October
October,60049,1026,59023,October
October,61296,1034,60262,October
September,51596,966,50630,September
September,52637,976,51661,September
September,53730,985,52745,September
September,54795,991,53804,September
