Counties,Count,id
Carlow,3835,16
Cavan,5657,13
Clare,19274,31
Cork,19238,33
Donegal,16753,14
Dublin city,50654,17
Fingal,11425,19
Galway,18763,8
Kerry,24881,34
Kildare,5790,21
Kilkenny,5134,22
Dún Laoghaire-Rathdown,8272,20
Laois,4095,23
Leitrim,5679,9
Limerick City,11491,1
Limerick,11491,2
Longford,1920,24
Louth,7603,25
Mayo,10578,10
Meath,8418,26
Monaghan,1624,15
Offaly,2880,27
Roscommon,3047,11
Sligo,5245,12
North Tipperary,5082,4
South Tipperary,5082,3
Waterford,8146,6
Westmeath,5811,28
Wexford,10916,29
Wicklow,10416,30
